,fuel,make,odometer,price,title status,transmission,VIN,condition,drive,paint color,type,cylinders,size,price_num
181, gas,2013 mazda mazda3 gs-sky, 97000,"$7,700", rebuilt, automatic, JM1BL1L70D1717402, excellent, fwd, white, hatchback, 4 cylinders, compact,7700
182, gas,2014 Dodge Grand Caravan SXT, 130000,"$9,500", clean, automatic, 2C4RDGBG0ER332385, excellent, fwd, red, mini-van, 6 cylinders, full-size,9500
183, gas,2014 Toyota Corolla LE, 58000,"$11,500", rebuilt, automatic, 2T1BURHE3EC162994, excellent, fwd, brown, sedan, 4 cylinders, compact,11500
184, gas,2015 bmw 428i gran coupe, 63000,"$19,500", rebuilt, automatic, WBA3N3C55FK234796, excellent, rwd, blue, coupe, 4 cylinders, mid-size,19500
185, gas,2007 honda odyssey ex-l, 211000,"$6,000", clean, automatic,, fair,, brown, mini-van, 6 cylinders, full-size,6000
186, gas,2015 honda civic coupe EX-L, 75000,"$11,500", rebuilt, automatic, 2HGFG3B97FH003941, excellent, fwd, red, coupe, 4 cylinders, compact,11500
187, gas,2010 chevrolet silverado, 201000,"$9,000", clean, automatic,, excellent,, green, truck, 6 cylinders,,9000
188, gas,2015 Honda Civic LX sedan, 22000,"$11,500", rebuilt, automatic, 2HGFB2F45FH007350, excellent, fwd, grey, sedan, 4 cylinders, compact,11500
189, gas,2013 2013 X3 BMW, 102000,"$11,900", rebuilt, automatic,, excellent, 4wd, silver, SUV, 4 cylinders, mid-size,11900
190, gas,2015 Honda CRV, 88000,"$13,500", rebuilt, automatic, 2HKRM3H36FH003086, excellent, fwd, grey, SUV, 4 cylinders, compact,13500
191, gas,2015 Nissan Juke SL Awd, 80000,"$11,500", rebuilt, automatic, JN8AF5MV8FT559443, excellent, 4wd, grey, SUV, 4 cylinders, compact,11500
192, gas,2016 2016 Audi A4 Premium Plus S-Line, 30000,"$19,500", rebuilt, automatic, WAUFFCFL6GN002289, excellent, 4wd, grey, sedan, 4 cylinders, compact,19500
193, gas,2016 2016 Honda Civic EXT, 60000,"$14,500", rebuilt, automatic, 2HGFC1F43GH113482, like new, fwd, grey, sedan, 4 cylinders, compact,14500
194, gas,2016 jeep grand cherokee altitude, 27000,"$18,500", rebuilt, automatic, 1C4PJMCS1GW139237, excellent, 4wd, blue, SUV,, mid-size,18500
195, gas,2019 Ram 1500, 60000,"$36,000", clean, automatic,, like new, 4wd, black, truck, 6 cylinders, full-size,36000
196, gas,2016 mazda cx-5 GT AWD, 95000,"$14,500", rebuilt, automatic, JM3KE4DY2G0653352, excellent, 4wd, grey, SUV, 4 cylinders, compact,14500
197, gas,2014 hyundai elantra, 111000,"$8,500", clean, automatic,, excellent, fwd, blue, sedan, 4 cylinders,,8500
198, gas,2009 Mercedes Benz CLS AMG, 140000,"$19,800", clean, automatic,, excellent, rwd, white, sedan, 8 cylinders, full-size,19800
199, gas,2016 toyota Scion Corolla IM, 58000,"$11,500", rebuilt, automatic, JTNKARJE2GJ505137, excellent, fwd, silver, hatchback, 4 cylinders, compact,11500
200, gas,2016 Toyota Yaris, 86000,"$8,990", rebuilt, automatic, VNKKTUD38GA057229, excellent, fwd, red, hatchback, 4 cylinders, sub-compact,8990
201, gas,2017 subaru legacy 3.6r limited, 48000,"$17,500", rebuilt, automatic, 4S3BNFN62H3031206, excellent, 4wd, grey, sedan, 6 cylinders, mid-size,17500
202, gas,2017 VW Jetta TSi, 40000,"$10,500", rebuilt, automatic, 3VW2B7AJ7HM302037, excellent, fwd, blue, sedan, 4 cylinders, compact,10500
